1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.199999999999999956e+00 2.201652459599588996e-01 2.203270998145387960e-01 7.914456751645229104e-01
1.399999999999999911e+00 3.774261359313580422e-01 3.777036226100199401e-01 8.008675988723951145e-01
1.600000000000000089e+00 4.953718034099074408e-01 4.957359457712169903e-01 8.080463400301792776e-01
1.800000000000000044e+00 5.871073225598901768e-01 5.875389384388129965e-01 8.136966645476036986e-01
2.000000000000000000e+00 6.604957378798765877e-01 6.610668463998042865e-01 8.181535231151402243e-01
2.200000000000000178e+00 7.205408049598652775e-01 7.211638324139896250e-01 8.219143589008250927e-01
2.399999999999999911e+00 7.705783608598559820e-01 7.712445770385965016e-01 8.250678973871101718e-01
2.600000000000000089e+00 8.129178312367711934e-01 8.136205713185203914e-01 8.277501170514474094e-01
2.800000000000000266e+00 8.492088058455555810e-01 8.499430032652420808e-01 8.300591171382790678e-01
3.000000000000000000e+00 8.806609838398354873e-01 8.814224618732390271e-01 8.320677988994105156e-01
3.200000000000000178e+00 9.081816395848303358e-01 9.089669138563452044e-01 8.338312341370154313e-01
3.400000000000000355e+00 9.324645711245316271e-01 9.332708419475179706e-01 8.353916808111518932e-01
3.600000000000000089e+00 9.540493991598216761e-01 9.548743336592642184e-01 8.367822692636275317e-01
3.800000000000000266e+00 9.733621400335022988e-01 9.742037736355324551e-01 8.380292943256483218e-01
4.000000000000000000e+00 9.907436068198148815e-01 9.916002695971135594e-01 8.391538911254338151e-01
4.200000000000000178e+00 1.006469695816954779e+00 1.007339841290428417e+00 8.401733371727423405e-01
4.400000000000000355e+00 1.020766140359809171e+00 1.021648660492710636e+00 8.411015393547504049e-01
4.600000000000000533e+00 1.033819415811980669e+00 1.034713324862183370e+00 8.419502302005478223e-01
4.799999999999999822e+00 1.045784918309804468e+00 1.046688964144181888e+00 8.427295122217823842e-01
5.000000000000000000e+00 1.056793180607802363e+00 1.057706848509798236e+00 8.434471164118808595e-01
5.200000000000000178e+00 1.066954653498262129e+00 1.067876999951453909e+00 8.441104516949488046e-01
5.400000000000000355e+00 1.076363424693132176e+00 1.077293904616162701e+00 8.447252317286435552e-01
5.600000000000000533e+00 1.085100140802654378e+00 1.086038375963239710e+00 8.452965083701377003e-01
5.800000000000000711e+00 1.093234324766692023e+00 1.094179389014537263e+00 8.458291823605382787e-01
6.000000000000000000e+00 1.100826229799794165e+00 1.101777967197697938e+00 1.784601855762718348e+00
6.000000000000000000e+00 2.851175934945089363e+00 2.853271726984611956e+00 6.891159318279999058e-01
6.200000000000000178e+00 2.858278039653475489e+00 2.860748924736836951e+00 1.457328824756776386e+00
6.400000000000000355e+00 2.864936262817586510e+00 2.867413477062489946e+00 1.456079613479040580e+00
6.599999999999999645e+00 2.871190957305085334e+00 2.873673579774298048e+00 1.454913621161734394e+00
6.799999999999999822e+00 2.877077728587437377e+00 2.879192804114949045e+00 1.454010739203382085e+00
