1.000000000000000021e-03	1.000000000000000000e+00	1.047128548050898535e-04	1.000621769224399937e+00	0.000000000000000000e+00
1.122018454301963036e-03	1.000000000000000000e+00	1.188502227437014018e-04	1.000697451975250507e+00	0.000000000000000000e+00
1.258925411794166189e-03	1.000000000000000000e+00	1.348962882591644942e-04	1.000782322039250660e+00	0.000000000000000000e+00
1.412537544622752663e-03	1.000000000000000000e+00	1.548816618912466964e-04	1.000877488325528919e+00	0.000000000000000000e+00
1.584893192461110829e-03	1.000000000000000000e+00	1.757923613958671440e-04	1.000984191985495375e+00	0.000000000000000000e+00
1.778279410038919066e-03	1.000000000000000000e+00	1.995262314968850297e-04	1.001103821606686539e+00	0.000000000000000000e+00
1.995262314968874583e-03	1.000000000000000000e+00	2.290867652767732479e-04	1.001237930575613388e+00	0.000000000000000000e+00
2.238721138568333397e-03	1.000000000000000000e+00	2.600159563165218993e-04	1.001388255439110697e+00	0.000000000000000000e+00
2.511886431509572064e-03	1.000000000000000000e+00	2.985382618917890103e-04	1.001556737323070045e+00	0.000000000000000000e+00
2.818382931264443517e-03	1.000000000000000000e+00	3.388441561391937343e-04	1.001745544285175704e+00	0.000000000000000000e+00
3.162277660168366384e-03	1.000000000000000000e+00	3.890451449942693304e-04	1.001957097491724014e+00	0.000000000000000000e+00
3.548133892335738476e-03	1.000000000000000000e+00	4.466835921509488454e-04	1.002194097879490986e+00	0.000000000000000000e+00
3.981071705534952598e-03	1.000000000000000000e+00	5.069907082746868618e-04	1.002459558027176456e+00	0.000000000000000000e+00
4.466835921509607066e-03	1.000000000000000000e+00	5.821032177708495778e-04	1.002756834226004479e+00	0.000000000000000000e+00
5.011872336272694267e-03	1.000000000000000000e+00	6.683439175685875790e-04	1.003089663035857226e+00	0.000000000000000000e+00
5.623413251903456277e-03	1.000000000000000000e+00	7.585775750291510024e-04	1.003462200996973586e+00	0.000000000000000000e+00
6.309573444801891244e-03	1.000000000000000000e+00	8.709635899560404975e-04	1.003879066769815642e+00	0.000000000000000000e+00
7.079457843841330082e-03	1.000000000000000000e+00	9.999999999999510149e-04	1.004345385011807146e+00	0.000000000000000000e+00
7.943282347242756544e-03	1.000000000000000000e+00	1.148153621496823037e-03	1.004866836001224506e+00	0.000000000000000000e+00
8.912509381337386030e-03	1.000000000000000000e+00	1.318256738556334651e-03	1.005449705773968638e+00	0.000000000000000000e+00
9.999999999999918676e-03	1.000000000000000000e+00	1.513561248436120490e-03	1.006100938938974121e+00	0.000000000000000000e+00
1.122018454301953842e-02	1.000000000000000000e+00	1.737800828749269796e-03	1.006828193010086414e+00	0.000000000000000000e+00
1.258925411794155867e-02	1.000000000000000000e+00	1.995262314968752285e-03	1.007639893351553129e+00	0.000000000000000000e+00
1.412537544622740997e-02	1.000000000000000000e+00	2.290867652767620156e-03	1.008545287508419763e+00	0.000000000000000000e+00
1.584893192461097819e-02	1.000000000000000000e+00	2.630267991895198724e-03	1.009554497294547604e+00	0.000000000000000000e+00
