nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
nan nan 5.269587499999996323e-03 7.924221702127660222e-03 1.062532623456790074e-02 9.308192950819672851e-03 1.083542542763157521e-02 9.410892168674696301e-03 8.606080336538464090e-03 7.797018645320204569e-03 8.017059841628959224e-03 8.286397154811712962e-03 8.771911687979541683e-03 7.838306135135135466e-03 7.450684799196785960e-03 7.480668767507006080e-03 7.669023401688786906e-03 7.633409013921117585e-03 7.648889324208728302e-03 8.080141217168490542e-03 7.376700123022854848e-03 7.230587640056033473e-03 7.911452210526307566e-03 7.425225094117643074e-03 7.856388421781270240e-03 6.457769131693207910e-03 7.999586290018826165e-03 7.668173298595379675e-03 7.603354239256696588e-03 7.579565615859595873e-03 7.357016008771943318e-03 7.791163055478134494e-03 7.076161432646611328e-03 7.258816602368880003e-03 7.167697421307532915e-03 7.420603695594127011e-03 7.586150509472599363e-03 7.319251512544814459e-03 7.862183526765632868e-03 7.483195359368512156e-03 7.943433394049790805e-03 7.210758298340661475e-03 8.035893105802088127e-03 7.248148391041945617e-03 7.438250724346087001e-03 7.285849808410451052e-03 7.478018249143230690e-03 7.879114175582601839e-03 7.548809323110287732e-03 7.613988811399855644e-03 7.433338545326764919e-03 7.350085282740853425e-03 6.856538521325179769e-03 6.772854560394433142e-03 7.223377971592340012e-03 7.493556239452040836e-03 7.724286312849142772e-03 7.499046430569338527e-03 7.506668393117058198e-03 7.506246301681644348e-03 7.559490501704850714e-03 7.389516234429296775e-03 7.543916817732389951e-03 7.438716421989754503e-03 7.595678265254728577e-03 7.652043706933870683e-03 7.624909420170630087e-03 7.595439890532386384e-03 7.341612467930562318e-03 7.491537784442893824e-03 7.581763694647893938e-03 7.681479256658093821e-03 7.371535964005625566e-03 7.436223176470605108e-03 7.598522179269698827e-03 7.582477520061615961e-03 7.521992228116719005e-03 7.655658186579039626e-03 7.340916582304129676e-03 7.577360740081058935e-03 7.488173075099483801e-03 7.525996915512803663e-03 7.469954990351676538e-03 7.455742901839894875e-03 7.443786494136636102e-03 7.420034717555807138e-03 7.519289002557455297e-03 7.514693903166588633e-03 7.591254744002668906e-03 7.532732283767537562e-03 7.542002362810299072e-03 7.487470588235091255e-03 7.526518357994040932e-03 7.440636108561954169e-03 7.440322094752665864e-03 7.572903416962741864e-03 7.505189852970089309e-03 7.562440815331854249e-03 7.651272756743683102e-03 7.751883648795433387e-03
nan 0.000000000000000000e+00 1.944264823529412087e-02 1.610070898550724008e-02 2.055572884615384371e-02 1.628391718750001049e-02 1.699863527649769432e-02 1.511690344537815027e-02 1.686988164406779192e-02 1.514021886855242832e-02 1.628974415094340891e-02 1.571877710601720171e-02 1.466028046391752368e-02 1.440996633975481084e-02 1.560125567423230157e-02 1.571963301633046151e-02 1.450577544105522559e-02 1.424654135958395955e-02 1.493623982475974186e-02 1.522850253333333723e-02 1.441184717254902735e-02 1.571368406613880830e-02 1.448281975387420185e-02 1.518902730363425914e-02 1.525433721948216137e-02 1.221040635909629961e-02 1.540674078450210600e-02 1.576023180789233938e-02 1.414434226129365757e-02 1.518997048636857271e-02 1.581914973074045883e-02 1.637660437738732225e-02 1.360186007790077298e-02 1.518736032981827903e-02 1.504398695026962218e-02 1.481977997301676432e-02 1.519862427814797426e-02 1.487849055999997984e-02 1.543126317670017768e-02 1.557374629163171126e-02 1.584916046205063489e-02 1.477216231250711755e-02 1.538205706073645339e-02 1.471378542155935346e-02 1.508331150177461520e-02 1.489203548208468605e-02 1.459109958893201747e-02 1.539507676784653001e-02 1.504395055728189635e-02 1.596073486910402905e-02 1.437940915427507634e-02 1.526217508377218299e-02 1.402969625744628253e-02 1.274105381800593427e-02 1.468300569430556861e-02 1.476579686574020465e-02 1.521928475497366998e-02 1.485477593730238216e-02 1.494168536787601233e-02 1.514178600140530205e-02 1.506076859481650550e-02 1.489441438739049460e-02 1.508677606673951982e-02 1.480661899197617190e-02 1.528179501625154084e-02 1.546300926257417226e-02 1.498492589413459065e-02 1.490195344023726928e-02 1.488077706978212580e-02 1.514171906930169079e-02 1.514826629074015121e-02 1.500348974999498111e-02 1.495967887839104622e-02 1.490861690334002211e-02 1.492507682575162226e-02 1.483140568555813693e-02 1.492240215716546595e-02 1.516019996908014172e-02 1.496596239688308475e-02 1.495021841322381230e-02 1.489083271217018709e-02 1.506019641467821156e-02 1.499983290946940544e-02 1.507302260888558967e-02 1.494140730839183667e-02 1.517678650764137278e-02 1.512260434928527734e-02 1.495228829633744178e-02 1.498116338297643749e-02 1.499414568379979322e-02 1.525513269351139525e-02 1.494743325062647225e-02 1.502876943088273139e-02 1.479731956565022953e-02 1.501456179865053898e-02 1.503471306453552786e-02 1.509903207837929792e-02 1.505955869852597211e-02 1.551232545916497209e-02 1.558853975211908771e-02
nan 1.635919999999995355e-03 1.397364086956521742e-02 1.706885282828281974e-02 2.990509374015748803e-02 2.480726602678571743e-02 2.521935907637655114e-02 2.350727017944535466e-02 2.351272865885417618e-02 2.364286782442748258e-02 2.423425058616649613e-02 2.545964738255032667e-02 2.146368048717947272e-02 2.024129184576484858e-02 2.212830775171066924e-02 2.462240441394661708e-02 2.597562813762629291e-02 2.260784099999996882e-02 2.204746243736731628e-02 2.254828221402218821e-02 2.220964298350825566e-02 2.214076275302247557e-02 2.213865659251766302e-02 2.302166425444994446e-02 2.060541823421352739e-02 1.783177288078893752e-02 2.183127102923403465e-02 2.495850080222586365e-02 2.280132461030128996e-02 2.288861226758485620e-02 2.421348290373336043e-02 2.408068793673622324e-02 2.111096644557029084e-02 2.228155947099535669e-02 2.347405707452396989e-02 2.232657207572861721e-02 2.239419833695521084e-02 2.240948652466093205e-02 2.281257609097049957e-02 2.356784785132707422e-02 2.351192150619731483e-02 2.272410882758032699e-02 2.264939350961921866e-02 2.207702812365726006e-02 2.243914773175379254e-02 2.192342230719284898e-02 2.202118229352975284e-02 2.282215626258840210e-02 2.237147286583454284e-02 2.307425118562358643e-02 2.251508875476933985e-02 2.362601242566780141e-02 2.069989976813798802e-02 1.870385382673698735e-02 2.178584958321928486e-02 2.195172934956391222e-02 2.250096212315885399e-02 2.283109842202707060e-02 2.251991303323696431e-02 2.229034797931894046e-02 2.273286365495564773e-02 2.244080548107887235e-02 2.219024082869381145e-02 2.230650104821834886e-02 2.253024576102856044e-02 2.284174818406005739e-02 2.250466983632606194e-02 2.231839610326008874e-02 2.221604644460251424e-02 2.266672000392873712e-02 2.252119129375216092e-02 2.243618471652846988e-02 2.231636734631823119e-02 2.249039845303835855e-02 2.244026587318134758e-02 2.225184468914499780e-02 2.240269990550017645e-02 2.256914643354013261e-02 2.243645206262780134e-02 2.219927759667987902e-02 2.237899261063146933e-02 2.255437929539561709e-02 2.242848370451341194e-02 2.242893337986267069e-02 2.257207883723694186e-02 2.270058477009741227e-02 2.233071701084904381e-02 2.263671281522252124e-02 2.252706237325973609e-02 2.236808321141124656e-02 2.286039176989618921e-02 2.262264720633260992e-02 2.257943531563675124e-02 2.226942453706928088e-02 2.246347901095021096e-02 2.273583752558976101e-02 2.274622632507476705e-02 2.264028488146774612e-02 2.338408703661032720e-02 2.356853431615035452e-02
nan 2.986600000000004616e-03 1.725873034482757959e-02 2.017258261904762359e-02 3.581818508090613834e-02 3.093912524074073772e-02 3.344083815249268565e-02 3.097416467914439545e-02 3.009978963312370456e-02 3.109518662525884158e-02 2.965286394167453501e-02 3.206301070080858073e-02 3.098183862033195013e-02 3.090594481335952673e-02 3.167442449961208745e-02 3.476276885542170514e-02 3.174470286872784625e-02 3.075878104691572718e-02 3.054037339255784994e-02 3.209170736598636331e-02 3.082849364775239881e-02 2.887458473313461726e-02 2.890874180503482521e-02 2.983781559742647999e-02 2.570526375296052282e-02 2.409589910474867896e-02 3.010698917816206216e-02 3.343678421411012264e-02 3.153875844940663697e-02 3.046683287962227010e-02 3.197931007460942665e-02 3.080204375650983165e-02 2.842252477066467900e-02 2.939650046301094805e-02 3.074445796380628759e-02 2.936320460381914091e-02 2.977785386396073625e-02 2.985060157864417515e-02 3.015695956218908402e-02 3.034491027159652229e-02 2.985632487238434885e-02 3.008201951939581953e-02 3.046369012369402537e-02 2.966139500862108661e-02 2.921167288207878604e-02 2.949291847012269069e-02 2.960418915627646350e-02 3.038927633746065643e-02 2.978223745028121469e-02 3.069505489278467544e-02 3.081920398447766246e-02 3.156174563883797773e-02 2.785876911598616362e-02 2.485676569527872290e-02 2.814523668307499643e-02 2.949255794353947829e-02 2.980944423746753960e-02 3.094353588231084709e-02 2.995591482763279925e-02 2.984958594105745211e-02 3.010554981931593335e-02 3.020615407157492202e-02 2.950116371702969642e-02 2.959839266074821423e-02 2.999902496858943002e-02 3.080244847907345068e-02 3.006812678353517482e-02 2.986913372762389426e-02 2.944489482792689641e-02 3.034043626526145704e-02 3.022997833276274554e-02 2.995100231745379676e-02 2.968746322139836219e-02 2.970405081245625425e-02 2.996993551707132289e-02 2.997247217417951110e-02 2.990851065258396183e-02 3.043815572619995580e-02 3.026159707120252423e-02 2.961694175073232779e-02 2.966960848792291397e-02 2.992824992709014476e-02 2.996128470689088039e-02 2.996499823585693084e-02 2.998504694725473430e-02 3.048528661383576727e-02 3.028075085070503977e-02 3.028649073270779299e-02 2.995900026396702831e-02 2.975691245485365469e-02 3.016639658091960913e-02 3.005657368560142248e-02 3.003575636677911775e-02 2.984885756803751927e-02 2.987196460055981800e-02 3.020501950700931609e-02 3.021564258865967398e-02 3.012460359258563661e-02 3.110558676318337518e-02 3.137536847590231825e-02
nan 1.713698399999999053e-02 3.046850631578948074e-02 2.886166790849674368e-02 4.343754483425413954e-02 3.685879937694701292e-02 4.448306987341775487e-02 3.781600578595316342e-02 4.022737324640290879e-02 3.877749615979383946e-02 3.599686580140731840e-02 4.011329213474640332e-02 3.810907108527133297e-02 4.114328962873282231e-02 3.810827223151119769e-02 3.891187317817815933e-02 3.983794501493812673e-02 3.810944355001812112e-02 3.809890936924370530e-02 3.883410704690343218e-02 3.976340696424832816e-02 3.727938981306318234e-02 3.629983532661112261e-02 3.652257400760448164e-02 3.185388712619612039e-02 2.898697635247806173e-02 3.779300812236292828e-02 4.271376780041714200e-02 4.011820160563010773e-02 3.899754790556887729e-02 3.933021225200530879e-02 3.805010895242697672e-02 3.640701102076301932e-02 3.672665126312449346e-02 3.887804799759819741e-02 3.767265877509860805e-02 3.658318839399352096e-02 3.753738392420333941e-02 3.732980929832502986e-02 3.697357310877195241e-02 3.612345873785747369e-02 3.788634732861737020e-02 3.801241686628224065e-02 3.716882296828399185e-02 3.673813733489907085e-02 3.751453433621620287e-02 3.687475559725241631e-02 3.836149714177619630e-02 3.740414327332530764e-02 3.798391565059089370e-02 3.850599982782464126e-02 3.977703854071464734e-02 3.457169768071170074e-02 3.061084987855268794e-02 3.425061411065354749e-02 3.631547575811889389e-02 3.708632976578153662e-02 3.826849473761424758e-02 3.737047512555227713e-02 3.734268109992674306e-02 3.770239364316613218e-02 3.760046658759989141e-02 3.731292539925891438e-02 3.688199060670474538e-02 3.776155340821670675e-02 3.822385870097962796e-02 3.800422978803517926e-02 3.761614218620320388e-02 3.699309423577699235e-02 3.817905217192060774e-02 3.845787696055173038e-02 3.758271638558007693e-02 3.753876396074835170e-02 3.736404685363586831e-02 3.802240229992492893e-02 3.774769580524942048e-02 3.717112873096369008e-02 3.770232174767332994e-02 3.768145846637421109e-02 3.713278572602942557e-02 3.740108154374079813e-02 3.745222957855046109e-02 3.752795516385910163e-02 3.749946821841016603e-02 3.735524991910928183e-02 3.796596773545299341e-02 3.806842464574239360e-02 3.809241965485445081e-02 3.733528628849806102e-02 3.729043738759931642e-02 3.768316504860644289e-02 3.749772711976793321e-02 3.769809665520856834e-02 3.751835114727664067e-02 3.752393449475395493e-02 3.783348944953779380e-02 3.764362934761961849e-02 3.803358800986015448e-02 3.916412040784542775e-02 3.935483910697630539e-02
nan 3.793126249999991591e-03 5.367607333333332398e-02 4.028337635359113822e-02 5.073782294403891141e-02 4.453058703252033707e-02 5.007992083056483218e-02 4.600901532118883974e-02 4.882517851330198111e-02 4.789992033848414904e-02 4.544675381977140299e-02 4.808833514993473418e-02 4.367691361779729026e-02 4.555720955892491458e-02 4.396988611834968391e-02 4.948246064264002347e-02 4.972773044395119996e-02 4.410336271865437918e-02 4.515326488149384171e-02 4.535936517545585689e-02 4.674543551498632626e-02 4.615327902326473580e-02 4.415896112309401073e-02 4.292124298437750146e-02 3.751867929898214382e-02 3.524795321252213037e-02 4.462470082881389577e-02 5.046778060438048691e-02 4.818204345860439830e-02 4.674729571876478501e-02 4.630996808211029769e-02 4.495323289306613762e-02 4.312189449723391466e-02 4.269240500134908328e-02 4.457770746274991591e-02 4.512810221986125747e-02 4.437534820518426043e-02 4.478334334732898131e-02 4.424180116541832214e-02 4.362489166436071819e-02 4.320239483000046232e-02 4.528419185533798935e-02 4.553994203332386442e-02 4.486687059041582354e-02 4.374090848414088212e-02 4.416020584031273705e-02 4.429343883668324100e-02 4.646153005772022532e-02 4.456286441517393754e-02 4.593278387886111369e-02 4.704226727734274471e-02 4.823560471677455080e-02 4.164097719962831651e-02 3.622194317381774442e-02 4.064836251486585866e-02 4.362065246066611224e-02 4.508513202198670411e-02 4.556101801415461672e-02 4.498001489238974415e-02 4.461780668487543011e-02 4.547502472822706476e-02 4.510995413004961069e-02 4.459053945156368076e-02 4.460758941111838544e-02 4.566907464289971658e-02 4.555055752117403989e-02 4.569139895579946153e-02 4.530294074220100886e-02 4.467261950319437180e-02 4.562776008373741615e-02 4.567407195617517041e-02 4.529937912170724917e-02 4.497514874426810499e-02 4.503500742084022568e-02 4.539368032688723825e-02 4.533058566435284320e-02 4.534508400684619106e-02 4.543155692410563024e-02 4.523287671243073071e-02 4.484664106108148668e-02 4.475467317514771060e-02 4.472582337514247053e-02 4.470808010715154185e-02 4.497096694423372704e-02 4.467374913143976750e-02 4.512643596138195268e-02 4.527023838936312938e-02 4.544595996500676999e-02 4.463088374536642450e-02 4.473937151210705815e-02 4.520721310277942689e-02 4.518530566105442153e-02 4.531831064753600452e-02 4.492053342160593626e-02 4.520053225743278502e-02 4.539605556386077517e-02 4.489950937357016503e-02 4.566471258641553038e-02 4.723762118055602199e-02 4.684867323098751424e-02
0.000000000000000000e+00 1.226368599999999587e-02 5.711613448275859595e-02 4.959991323529413382e-02 6.162408431670284709e-02 5.184675474002415491e-02 6.075942382936506264e-02 5.435398838198492871e-02 5.762281939792390784e-02 5.807130802190731828e-02 5.412572363961816457e-02 5.546701449291779884e-02 4.933659297416508049e-02 5.219264421304616736e-02 5.333853358187826826e-02 5.717111655619058763e-02 5.974761176623391568e-02 5.314102296720887852e-02 5.404488398072505861e-02 5.502619711741322389e-02 5.516343089363063418e-02 5.395488968498655252e-02 4.992237438307518121e-02 4.867172491032953352e-02 4.173958847931338867e-02 4.044200526923397154e-02 5.204372602439015505e-02 5.967242606216334455e-02 5.636535664304695437e-02 5.526643850944173986e-02 5.537494917646146320e-02 5.270567027159918372e-02 5.079471203240144839e-02 4.993167237637666234e-02 5.159420744959469785e-02 5.334673577308941123e-02 5.187664895703547607e-02 5.257638042728839806e-02 5.296503961316871567e-02 5.097398218799278902e-02 4.981981428564444259e-02 5.297089422076176751e-02 5.386507862500512778e-02 5.303266077059131528e-02 5.152873216703460907e-02 5.064274358962020384e-02 5.115135925451135684e-02 5.359440982131879333e-02 5.235132709697510461e-02 5.392631232809796948e-02 5.567687267471321810e-02 5.593248763785725608e-02 4.914426840403891134e-02 4.251118701969845703e-02 4.713144391294642188e-02 5.059309396047327601e-02 5.245244458159839529e-02 5.329973428281302439e-02 5.312055502567661347e-02 5.225916541021207590e-02 5.313810680294187017e-02 5.242229730392920783e-02 5.211950001013321288e-02 5.226845373166220943e-02 5.335849747221599326e-02 5.353400788684498091e-02 5.330011023977171414e-02 5.284601376907104714e-02 5.257767459558802814e-02 5.312923490295181489e-02 5.312743282050920446e-02 5.280971071959122271e-02 5.225124959223660659e-02 5.204511299830888449e-02 5.309492494768492526e-02 5.303167574870791545e-02 5.285292906290147558e-02 5.312771676877547228e-02 5.289836736904222902e-02 5.230012445973430263e-02 5.217418176618167369e-02 5.221782452268532160e-02 5.226346503009894617e-02 5.271433614200421447e-02 5.207173067859175580e-02 5.270797770143028499e-02 5.296579357457064513e-02 5.290706703006213540e-02 5.222210879171329534e-02 5.237707501771193125e-02 5.270652881190598937e-02 5.256481118024108889e-02 5.291275354648444784e-02 5.248735916933398860e-02 5.260167007559063412e-02 5.307596906702244377e-02 5.230959419366483509e-02 5.325432077502217226e-02 5.510126567068932696e-02 5.441728900712784062e-02
3.236401000000006106e-02 2.985396428571429617e-02 5.648593814285716996e-02 6.029347420353980969e-02 6.559363554474706426e-02 6.008506961411243241e-02 6.571160690876884369e-02 6.036459086795258749e-02 6.411434644057251164e-02 6.833534610149950839e-02 5.829182816586922500e-02 6.087483331325308639e-02 5.675003423503324068e-02 6.023056417239566751e-02 5.996802022092535128e-02 6.555602510391828064e-02 6.619016547811065743e-02 6.167678179189397397e-02 5.905322325607258865e-02 6.122171555057214637e-02 6.281747900763351433e-02 6.283765524951880066e-02 5.796778733257495347e-02 5.539258865127575510e-02 4.864905881694272377e-02 4.692100282754906732e-02 6.045020539268718823e-02 7.135045141489708420e-02 6.667192697903812082e-02 6.234069473972390224e-02 6.400905808051608747e-02 5.940971622009563052e-02 5.735872716800342191e-02 5.652405834116342592e-02 5.854731488718838139e-02 5.997649539425402299e-02 5.845305136749686520e-02 6.040352994885028054e-02 5.954609969751610554e-02 5.852963066190572383e-02 5.759276090975778972e-02 6.068173372375077618e-02 6.154927359827237765e-02 6.068101033125636312e-02 5.960921865358830007e-02 5.817728820822844898e-02 5.795188088097492918e-02 6.070819808686926666e-02 6.015618450568082504e-02 6.166434504006791661e-02 6.531118813459194095e-02 6.425279806884612310e-02 5.622987254939750684e-02 4.832727780587047633e-02 5.269093397412560192e-02 5.705765791851510893e-02 5.958519711265090890e-02 6.087784230353487230e-02 6.059152138366327017e-02 5.985138490174587295e-02 6.133685386002746265e-02 6.031730413561545850e-02 5.949042739487680337e-02 5.995687243441075870e-02 6.103951912049396245e-02 6.110760855865956381e-02 6.076964691488907083e-02 6.014634588457119790e-02 6.002700169889180898e-02 6.046709426343045701e-02 6.066382000777441330e-02 6.045348962285174849e-02 5.982125355168860237e-02 5.898613921626483930e-02 6.019368405469508604e-02 6.033994426329167965e-02 6.033976205644896867e-02 6.041602144866314167e-02 6.032776325788682253e-02 6.003979584980038975e-02 5.975853523531528960e-02 5.997219680611733800e-02 5.994926332748371639e-02 6.018952169149614784e-02 5.946776181753137686e-02 5.956596268083774043e-02 5.984792385197343356e-02 5.997850232144959909e-02 5.967265900846413507e-02 5.980115562682310204e-02 6.022901039220809882e-02 6.008999465290088687e-02 6.059996979708856535e-02 6.036992295152384530e-02 6.046725882531930885e-02 6.070118968310803109e-02 5.999351677618101203e-02 6.125952122807033773e-02 6.312986541366533144e-02 6.218653577672738492e-02
